
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60152             0.60152
MW[kg/kmol]                   28.04140            28.04140
H[J/kg]                       -1.283883e+006      -1.283900e+006
U[J/kg]                       -1.566498e+006      -1.566516e+006
E[J/kg]                       -1.283883e+006      -1.283900e+006
Conv.(%) O2                   0.000e+000          2.914e-003
Conv.(%) H2O                  0.000e+000          -1.921e-003
Conv.(%) CH4                  0.000e+000          1.962e-002
Conv.(%) CO2                  0.000e+000          -1.526e-007
Conv.(%) C2H6                 0.000e+000          3.368e-001
Conv.(%) NO                   0.000e+000          1.748e+000
Conv.(%) NO2                  0.000e+000          -5.824e+000
Conv.(%) N2                   0.000e+000          4.380e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.227489e-003       9.227489e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067685e-002       3.067685e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.972138e-010
H                             0.000000e+000       3.758265e-014
O                             0.000000e+000       3.811444e-012
O2                            9.699338e-002       9.699055e-002
OH                            0.000000e+000       1.256900e-010
H2O                           8.351759e-002       8.351919e-002
HO2                           0.000000e+000       2.613890e-009
H2O2                          0.000000e+000       9.461207e-011
C                             0.000000e+000       1.849080e-033
CH                            0.000000e+000       1.746314e-026
CH2                           0.000000e+000       1.518409e-016
CH2(S)                        0.000000e+000       6.893318e-018
CH3                           0.000000e+000       2.673924e-008
CH4                           2.523042e-003       2.522547e-003
CO                            0.000000e+000       1.261556e-008
CO2                           1.020129e-001       1.020129e-001
HCO                           0.000000e+000       8.089196e-015
CH2O                          0.000000e+000       7.400200e-007
CH2OH                         0.000000e+000       5.391414e-018
CH3O                          0.000000e+000       3.533906e-013
CH3OH                         0.000000e+000       7.680422e-010
C2H                           0.000000e+000       3.419466e-023
