
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60176             0.60176
MW[kg/kmol]                   28.05248            28.05248
H[J/kg]                       -1.277744e+006      -1.277764e+006
U[J/kg]                       -1.560248e+006      -1.560267e+006
E[J/kg]                       -1.277744e+006      -1.277763e+006
Conv.(%) O2                   0.000e+000          3.277e-003
Conv.(%) H2O                  0.000e+000          -2.248e-003
Conv.(%) CH4                  0.000e+000          2.297e-002
Conv.(%) CO2                  0.000e+000          -2.229e-007
Conv.(%) C2H6                 0.000e+000          3.908e-001
Conv.(%) NO                   0.000e+000          1.162e-001
Conv.(%) NO2                  0.000e+000          -3.853e-001
Conv.(%) N2                   0.000e+000          4.944e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.278972e-003       9.278972e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.063502e-002       3.063502e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.281080e-010
H                             0.000000e+000       1.335743e-014
O                             0.000000e+000       3.782953e-012
O2                            9.695505e-002       9.695187e-002
OH                            0.000000e+000       1.255372e-010
H2O                           8.348459e-002       8.348646e-002
HO2                           0.000000e+000       1.663608e-010
H2O2                          0.000000e+000       6.025751e-012
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       1.344274e-026
CH2                           0.000000e+000       1.491689e-016
CH2(S)                        0.000000e+000       7.078026e-018
CH3                           0.000000e+000       2.672845e-008
CH4                           2.522045e-003       2.521466e-003
CO                            0.000000e+000       1.629196e-008
CO2                           1.019726e-001       1.019726e-001
HCO                           0.000000e+000       9.307756e-015
CH2O                          0.000000e+000       8.468226e-007
CH2OH                         0.000000e+000       4.378279e-018
CH3O                          0.000000e+000       2.829485e-013
CH3OH                         0.000000e+000       8.723015e-010
C2H                           0.000000e+000       4.684361e-023
