
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60165             0.60165
MW[kg/kmol]                   28.04731            28.04731
H[J/kg]                       -1.280608e+006      -1.280627e+006
U[J/kg]                       -1.563164e+006      -1.563183e+006
E[J/kg]                       -1.280608e+006      -1.280627e+006
Conv.(%) O2                   0.000e+000          3.194e-003
Conv.(%) H2O                  0.000e+000          -2.159e-003
Conv.(%) CH4                  0.000e+000          2.201e-002
Conv.(%) CO2                  0.000e+000          -2.073e-007
Conv.(%) C2H6                 0.000e+000          3.768e-001
Conv.(%) NO                   0.000e+000          2.058e-001
Conv.(%) NO2                  0.000e+000          -6.840e-001
Conv.(%) N2                   0.000e+000          4.742e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.254947e-003       9.254947e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.065454e-002       3.065454e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.699593e-010
H                             0.000000e+000       1.849737e-014
O                             0.000000e+000       3.720704e-012
O2                            9.697293e-002       9.696983e-002
OH                            0.000000e+000       1.249372e-010
H2O                           8.349998e-002       8.350179e-002
HO2                           0.000000e+000       2.888150e-010
H2O2                          0.000000e+000       1.042604e-011
C                             0.000000e+000       1.504713e-032
CH                            0.000000e+000       1.491288e-026
CH2                           0.000000e+000       1.477259e-016
CH2(S)                        0.000000e+000       6.867882e-018
CH3                           0.000000e+000       2.663511e-008
CH4                           2.522510e-003       2.521955e-003
CO                            0.000000e+000       1.529891e-008
CO2                           1.019914e-001       1.019914e-001
HCO                           0.000000e+000       8.925983e-015
CH2O                          0.000000e+000       8.180147e-007
CH2OH                         0.000000e+000       4.313343e-018
CH3O                          0.000000e+000       2.853893e-013
CH3OH                         0.000000e+000       8.331675e-010
C2H                           0.000000e+000       4.292571e-023
