
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60155             0.60155
MW[kg/kmol]                   28.04251            28.04251
H[J/kg]                       -1.283269e+006      -1.283287e+006
U[J/kg]                       -1.565873e+006      -1.565891e+006
E[J/kg]                       -1.283269e+006      -1.283286e+006
Conv.(%) O2                   0.000e+000          3.002e-003
Conv.(%) H2O                  0.000e+000          -1.992e-003
Conv.(%) CH4                  0.000e+000          2.027e-002
Conv.(%) CO2                  0.000e+000          -1.706e-007
Conv.(%) C2H6                 0.000e+000          3.491e-001
Conv.(%) NO                   0.000e+000          7.157e-001
Conv.(%) NO2                  0.000e+000          -2.384e+000
Conv.(%) N2                   0.000e+000          4.347e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.232637e-003       9.232637e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067267e-002       3.067267e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.524802e-010
H                             0.000000e+000       3.006336e-014
O                             0.000000e+000       3.719673e-012
O2                            9.698954e-002       9.698663e-002
OH                            0.000000e+000       1.246128e-010
H2O                           8.351428e-002       8.351595e-002
HO2                           0.000000e+000       1.028394e-009
H2O2                          0.000000e+000       3.703520e-011
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       1.616564e-026
CH2                           0.000000e+000       1.487584e-016
CH2(S)                        0.000000e+000       6.783731e-018
CH3                           0.000000e+000       2.657394e-008
CH4                           2.522942e-003       2.522431e-003
CO                            0.000000e+000       1.338559e-008
CO2                           1.020089e-001       1.020089e-001
HCO                           0.000000e+000       8.284340e-015
CH2O                          0.000000e+000       7.615529e-007
CH2OH                         0.000000e+000       4.599553e-018
CH3O                          0.000000e+000       3.058055e-013
CH3OH                         0.000000e+000       7.688580e-010
C2H                           0.000000e+000       3.642710e-023
