
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60167             0.60167
MW[kg/kmol]                   28.04805            28.04805
H[J/kg]                       -1.280199e+006      -1.280218e+006
U[J/kg]                       -1.562747e+006      -1.562767e+006
E[J/kg]                       -1.280199e+006      -1.280218e+006
Conv.(%) O2                   0.000e+000          3.215e-003
Conv.(%) H2O                  0.000e+000          -2.178e-003
Conv.(%) CH4                  0.000e+000          2.221e-002
Conv.(%) CO2                  0.000e+000          -2.102e-007
Conv.(%) C2H6                 0.000e+000          3.799e-001
Conv.(%) NO                   0.000e+000          1.858e-001
Conv.(%) NO2                  0.000e+000          -6.173e-001
Conv.(%) N2                   0.000e+000          4.784e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.258379e-003       9.258379e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.065176e-002       3.065176e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.624113e-010
H                             0.000000e+000       1.762033e-014
O                             0.000000e+000       3.742383e-012
O2                            9.697038e-002       9.696726e-002
OH                            0.000000e+000       1.257607e-010
H2O                           8.349778e-002       8.349960e-002
HO2                           0.000000e+000       2.622537e-010
H2O2                          0.000000e+000       9.463548e-012
C                             0.000000e+000       4.206143e-033
CH                            0.000000e+000       1.525085e-026
CH2                           0.000000e+000       1.491070e-016
CH2(S)                        0.000000e+000       6.952475e-018
CH3                           0.000000e+000       2.680917e-008
CH4                           2.522444e-003       2.521884e-003
CO                            0.000000e+000       1.551309e-008
CO2                           1.019887e-001       1.019887e-001
HCO                           0.000000e+000       9.018292e-015
CH2O                          0.000000e+000       8.244454e-007
CH2OH                         0.000000e+000       4.348579e-018
CH3O                          0.000000e+000       2.864772e-013
CH3OH                         0.000000e+000       8.401498e-010
C2H                           0.000000e+000       4.381918e-023
