
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60152             0.60152
MW[kg/kmol]                   28.04103            28.04103
H[J/kg]                       -1.284088e+006      -1.284105e+006
U[J/kg]                       -1.566707e+006      -1.566724e+006
E[J/kg]                       -1.284087e+006      -1.284104e+006
Conv.(%) O2                   0.000e+000          2.867e-003
Conv.(%) H2O                  0.000e+000          -1.885e-003
Conv.(%) CH4                  0.000e+000          1.938e-002
Conv.(%) CO2                  0.000e+000          -1.406e-007
Conv.(%) C2H6                 0.000e+000          3.299e-001
Conv.(%) NO                   0.000e+000          3.432e+000
Conv.(%) NO2                  0.000e+000          -1.144e+001
Conv.(%) N2                   0.000e+000          4.717e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.225773e-003       9.225773e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067825e-002       3.067825e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       3.355910e-010
H                             0.000000e+000       4.499186e-014
O                             0.000000e+000       3.944130e-012
O2                            9.699465e-002       9.699187e-002
OH                            0.000000e+000       1.275116e-010
H2O                           8.351869e-002       8.352026e-002
HO2                           0.000000e+000       5.381121e-009
H2O2                          0.000000e+000       1.971076e-010
C                             0.000000e+000       1.711330e-032
CH                            0.000000e+000       1.873443e-026
CH2                           0.000000e+000       1.567640e-016
CH2(S)                        0.000000e+000       7.106333e-018
CH3                           0.000000e+000       2.699875e-008
CH4                           2.523075e-003       2.522586e-003
CO                            0.000000e+000       1.224500e-008
CO2                           1.020143e-001       1.020143e-001
HCO                           0.000000e+000       8.089668e-015
CH2O                          0.000000e+000       7.332910e-007
CH2OH                         0.000000e+000       6.799615e-018
CH3O                          0.000000e+000       4.382161e-013
CH3OH                         0.000000e+000       8.051999e-010
C2H                           0.000000e+000       3.332806e-023
