
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60157             0.60157
MW[kg/kmol]                   28.04362            28.04362
H[J/kg]                       -1.282655e+006      -1.282673e+006
U[J/kg]                       -1.565248e+006      -1.565266e+006
E[J/kg]                       -1.282654e+006      -1.282673e+006
Conv.(%) O2                   0.000e+000          3.066e-003
Conv.(%) H2O                  0.000e+000          -2.045e-003
Conv.(%) CH4                  0.000e+000          2.081e-002
Conv.(%) CO2                  0.000e+000          -1.827e-007
Conv.(%) C2H6                 0.000e+000          3.580e-001
Conv.(%) NO                   0.000e+000          4.535e-001
Conv.(%) NO2                  0.000e+000          -1.510e+000
Conv.(%) N2                   0.000e+000          4.445e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.237786e-003       9.237786e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.066849e-002       3.066849e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.256163e-010
H                             0.000000e+000       2.605909e-014
O                             0.000000e+000       3.703213e-012
O2                            9.698571e-002       9.698273e-002
OH                            0.000000e+000       1.246496e-010
H2O                           8.351098e-002       8.351269e-002
HO2                           0.000000e+000       6.427509e-010
H2O2                          0.000000e+000       2.313653e-011
C                             0.000000e+000       8.174558e-032
CH                            0.000000e+000       1.570800e-026
CH2                           0.000000e+000       1.487087e-016
CH2(S)                        0.000000e+000       6.811914e-018
CH3                           0.000000e+000       2.658997e-008
CH4                           2.522843e-003       2.522318e-003
CO                            0.000000e+000       1.399553e-008
CO2                           1.020049e-001       1.020049e-001
HCO                           0.000000e+000       8.484450e-015
CH2O                          0.000000e+000       7.794355e-007
CH2OH                         0.000000e+000       4.439702e-018
CH3O                          0.000000e+000       2.950226e-013
CH3OH                         0.000000e+000       7.857402e-010
C2H                           0.000000e+000       3.845708e-023
