
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60179             0.60179
MW[kg/kmol]                   28.05396            28.05396
H[J/kg]                       -1.276926e+006      -1.276946e+006
U[J/kg]                       -1.559415e+006      -1.559435e+006
E[J/kg]                       -1.276925e+006      -1.276945e+006
Conv.(%) O2                   0.000e+000          3.290e-003
Conv.(%) H2O                  0.000e+000          -2.264e-003
Conv.(%) CH4                  0.000e+000          2.315e-002
Conv.(%) CO2                  0.000e+000          -2.251e-007
Conv.(%) C2H6                 0.000e+000          3.935e-001
Conv.(%) NO                   0.000e+000          1.031e-001
Conv.(%) NO2                  0.000e+000          -3.417e-001
Conv.(%) N2                   0.000e+000          4.965e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.285836e-003       9.285836e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.062945e-002       3.062945e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.198827e-010
H                             0.000000e+000       1.240795e-014
O                             0.000000e+000       3.802261e-012
O2                            9.694994e-002       9.694675e-002
OH                            0.000000e+000       1.258797e-010
H2O                           8.348019e-002       8.348208e-002
HO2                           0.000000e+000       1.491463e-010
H2O2                          0.000000e+000       5.393956e-012
C                             0.000000e+000       3.837096e-033
CH                            0.000000e+000       1.419486e-026
CH2                           0.000000e+000       1.461935e-016
CH2(S)                        0.000000e+000       6.976882e-018
CH3                           0.000000e+000       2.679436e-008
CH4                           2.521912e-003       2.521328e-003
CO                            0.000000e+000       1.648205e-008
CO2                           1.019672e-001       1.019672e-001
HCO                           0.000000e+000       9.335357e-015
CH2O                          0.000000e+000       8.520186e-007
CH2OH                         0.000000e+000       4.315592e-018
CH3O                          0.000000e+000       2.830521e-013
CH3OH                         0.000000e+000       8.794732e-010
C2H                           0.000000e+000       4.732793e-023
