
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60164             0.60164
MW[kg/kmol]                   28.04657            28.04657
H[J/kg]                       -1.281018e+006      -1.281037e+006
U[J/kg]                       -1.563581e+006      -1.563600e+006
E[J/kg]                       -1.281017e+006      -1.281036e+006
Conv.(%) O2                   0.000e+000          3.175e-003
Conv.(%) H2O                  0.000e+000          -2.141e-003
Conv.(%) CH4                  0.000e+000          2.182e-002
Conv.(%) CO2                  0.000e+000          -2.037e-007
Conv.(%) C2H6                 0.000e+000          3.738e-001
Conv.(%) NO                   0.000e+000          2.309e-001
Conv.(%) NO2                  0.000e+000          -7.679e-001
Conv.(%) N2                   0.000e+000          4.693e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.251514e-003       9.251514e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.065733e-002       3.065733e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.785274e-010
H                             0.000000e+000       1.959156e-014
O                             0.000000e+000       3.711478e-012
O2                            9.697549e-002       9.697241e-002
OH                            0.000000e+000       1.247746e-010
H2O                           8.350218e-002       8.350397e-002
HO2                           0.000000e+000       3.237555e-010
H2O2                          0.000000e+000       1.167527e-011
C                             0.000000e+000       8.669860e-033
CH                            0.000000e+000       1.418244e-026
CH2                           0.000000e+000       1.473024e-016
CH2(S)                        0.000000e+000       6.828077e-018
CH3                           0.000000e+000       2.660495e-008
CH4                           2.522577e-003       2.522026e-003
CO                            0.000000e+000       1.509799e-008
CO2                           1.019941e-001       1.019941e-001
HCO                           0.000000e+000       8.843054e-015
CH2O                          0.000000e+000       8.118975e-007
CH2OH                         0.000000e+000       4.305428e-018
CH3O                          0.000000e+000       2.860402e-013
CH3OH                         0.000000e+000       8.253300e-010
C2H                           0.000000e+000       4.214359e-023
