
-----------------------------------------------------------------------------
Status                        Initial             Final
C2H2                          0.000000e+000       1.921012e-011
C2H3                          0.000000e+000       1.316908e-015
C2H4                          0.000000e+000       1.898635e-006
C2H5                          0.000000e+000       6.161397e-011
C2H6                          5.253512e-004       5.233873e-004
HCCO                          0.000000e+000       1.112279e-018
CH2CO                         0.000000e+000       3.801131e-010
HCCOH                         0.000000e+000       2.066851e-017
N                             0.000000e+000       3.832622e-020
NH                            0.000000e+000       2.263497e-020
NH2                           0.000000e+000       1.171353e-019
NH3                           0.000000e+000       8.117458e-017
NNH                           0.000000e+000       3.382548e-019
NO                            8.558907e-004       8.539142e-004
NO2                           3.936738e-004       3.966966e-004
N2O                           0.000000e+000       6.059349e-013
HNO                           0.000000e+000       4.426736e-013
CN                            0.000000e+000       1.027812e-020
HCN                           0.000000e+000       4.388664e-009
H2CN                          0.000000e+000       1.129709e-014
HCNN                          0.000000e+000       2.862620e-027
HCNO                          0.000000e+000       2.569440e-012
HOCN                          0.000000e+000       2.548768e-015
HNCO                          0.000000e+000       1.327319e-011
NCO                           0.000000e+000       2.314610e-018
N2                            7.132307e-001       7.132307e-001
AR                            0.000000e+000       0.000000e+000
C3H7                          0.000000e+000       1.839285e-014
C3H8                          0.000000e+000       1.061516e-010
CH2CHO                        0.000000e+000       5.475418e-014
CH3CHO                        0.000000e+000       2.010048e-013
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.483672e-009
H                             0.000000e+000       5.451151e-013
O                             0.000000e+000       6.506297e-012
O2                            8.500000e-002       8.499730e-002
OH                            0.000000e+000       2.057682e-010
H2O                           1.300000e-001       1.300028e-001
HO2                           0.000000e+000       2.751085e-010
H2O2                          0.000000e+000       9.626956e-012
C                             0.000000e+000       2.024476e-032
CH                            0.000000e+000       3.055295e-026
CH2                           0.000000e+000       2.945268e-016
CH2(S)                        0.000000e+000       1.365254e-017
CH3                           0.000000e+000       4.962938e-008
CH4                           4.410000e-003       4.409038e-003
CO                            0.000000e+000       1.511770e-008
CO2                           6.500000e-002       6.500000e-002
HCO                           0.000000e+000       8.547017e-015
CH2O                          0.000000e+000       7.583741e-007
CH2OH                         0.000000e+000       3.890974e-018
CH3O                          0.000000e+000       2.585051e-013
CH3OH                         0.000000e+000       7.224167e-010
C2H                           0.000000e+000       4.722267e-023
C2H2                          0.000000e+000       2.069199e-011
C2H3                          0.000000e+000       1.365627e-015
C2H4                          0.000000e+000       1.898132e-006
C2H5                          0.000000e+000       5.946117e-011
C2H6                          4.900000e-004       4.881683e-004
HCCO                          0.000000e+000       7.603311e-019
CH2CO                         0.000000e+000       2.536068e-010
HCCOH                         0.000000e+000       1.378978e-017
N                             0.000000e+000       7.674156e-020
NH                            0.000000e+000       4.227995e-020
NH2                           0.000000e+000       2.050329e-019
NH3                           0.000000e+000       1.336779e-016
NNH                           0.000000e+000       3.268860e-019
NO                            8.000000e-004       7.981526e-004
NO2                           2.400000e-004       2.418429e-004
N2O                           0.000000e+000       3.861222e-013
HNO                           0.000000e+000       4.003184e-013
CN                            0.000000e+000       1.107948e-020
HCN                           0.000000e+000       4.554391e-009
H2CN                          0.000000e+000       1.130215e-014
HCNN                          0.000000e+000       1.956637e-027
HCNO                          0.000000e+000       1.674933e-012
HOCN                          0.000000e+000       1.661457e-015
HNCO                          0.000000e+000       8.652351e-012
NCO                           0.000000e+000       1.545015e-018
N2                            7.140600e-001       7.140600e-001
AR                            0.000000e+000       0.000000e+000
C3H7                          0.000000e+000       1.197188e-014
C3H8                          0.000000e+000       6.751456e-011
CH2CHO                        0.000000e+000       3.567585e-014
CH3CHO                        0.000000e+000       1.279708e-013
-----------------------------------------------------------------------------
