0.00127 	299.563
0.00381 	299.563
0.00635 	299.564
0.00889 	299.567
0.01143 	299.587
0.01397 	299.699
0.01651 	300.192
0.01905 	301.981
0.02159 	307.329
0.02413 	320.249
0.02667 	344.787
0.02921 	380.857
0.03175 	426.008
0.03429 	476.342
0.03683 	528.21
0.03937 	578.975
0.04191 	627.069
0.04445 	671.74
0.04699 	711.535
0.04953 	745.045
0.05207 	779.179
0.05461 	810.826
0.05715 	840.457
0.05969 	868.461
0.06223 	895.197
0.06477 	920.974
0.06731 	946.04
0.06985 	970.581
0.07239 	994.735
0.07493 	1018.61
0.07747 	1042.29
0.08001 	1065.8
0.08255 	1089.15
0.08509 	1112.31
0.08763 	1135.26
0.09017 	1157.94
0.09271 	1180.29
0.09525 	1202.24
0.09779 	1223.73
0.10033 	1244.68
0.104942 	1282.03
0.111733 	1334.8
0.118677 	1385.1
0.125674 	1430.3
0.132647 	1468.83
0.139554 	1500.26
0.146431 	1525.22
0.153382 	1544.79
0.160356 	1559.56
0.167298 	1570.49
0.174232 	1578.48
0.181131 	1584.25
0.188043 	1588.44
0.194963 	1591.45
0.201911 	1593.57
0.208926 	1595
0.215955 	1595.99
0.222939 	1596.8
0.229955 	1597.34
0.23699 	1597.67
0.24401 	1597.85
0.251086 	1597.91
0.258194 	1597.86
0.265304 	1597.74
0.272389 	1597.55
0.279511 	1597.31
0.286646 	1597.01
0.293775 	1596.68
0.300978 	1596.3
0.308241 	1595.9
0.315552 	1595.51
0.322898 	1595.03
0.330265 	1594.51
0.337639 	1593.96
0.345006 	1593.4
0.352351 	1592.82
0.359789 	1592.22
0.367278 	1591.6
0.374746 	1590.97
0.382283 	1590.33
0.38981 	1589.67
0.397318 	1589.01
0.404869 	1588.34
0.412457 	1587.66
0.420076 	1586.97
0.427718 	1586.27
0.435462 	1585.56
0.443303 	1584.83
0.451153 	1584.1
0.459005 	1583.36
0.466943 	1582.61
0.474964 	1581.84
0.48297 	1581.06
0.491052 	1580.27
0.499205 	1579.47
0.507327 	1578.66
0.515512 	1577.84
0.523756 	1577
0.532058 	1576.14
0.540414 	1575.27
0.548821 	1574.39
0.557389 	1573.47
0.566005 	1572.54
0.574667 	1571.59
0.58337 	1570.63
0.592112 	1569.65
0.601013 	1568.64
0.609947 	1567.61
0.618915 	1566.56
0.628007 	1565.48
0.637159 	1564.39
0.646403 	1563.26
0.655737 	1562.11
0.665162 	1560.93
0.674676 	1559.73
0.684278 	1558.49
0.694041 	1557.22
0.703892 	1556.02
0.713832 	1554.99
0.723858 	1553.59
0.73397 	1552.14
0.744247 	1550.66
0.754691 	1549.16
0.765221 	1547.63
0.775839 	1546.08
0.786626 	1544.5
0.797585 	1542.88
0.808632 	1541.22
0.819766 	1539.55
0.831075 	1537.83
0.842562 	1536.07
0.85423 	1534.26
0.866082 	1532.41
0.87812 	1530.51
0.890348 	1528.57
0.902768 	1526.58
0.915384 	1524.54
0.928199 	1522.44
0.941215 	1520.3
0.954437 	1518.1
0.967867 	1515.85
0.981508 	1513.53
0.995364 	1511.24
1.00944 	1509.14
1.02373 	1506.61
1.03825 	1504
1.05312 	1501.34
1.06835 	1498.61
1.08381 	1495.83
1.09953 	1493.01
1.11549 	1490.12
1.13184 	1487.14
1.14859 	1484.33
1.16563 	1481.21
1.18299 	1478
1.2007 	1474.72
1.21877 	1471.39
1.23721 	1468
1.2561 	1464.53
1.27537 	1460.99
1.29504 	1457.38
1.31511 	1453.71
1.33559 	1449.96
1.3565 	1446.15
1.37785 	1442.27
1.39964 	1438.31
1.42179 	1434.31
1.44433 	1430.26
1.46734 	1426.16
1.49083 	1422.01
1.51463 	1417.85
1.53875 	1413.67
1.56329 	1409.48
1.58815 	1405.3
1.61333 	1401.13
1.63885 	1396.97
1.66461 	1392.85
1.6905 	1388.79
1.71652 	1384.78
1.74267 	1380.84
1.76882 	1376.98
1.79496 	1373.19
1.82109 	1369.49
1.84719 	1365.86
1.87314 	1362.34
1.89881 	1358.93
1.92417 	1355.62
1.94932 	1352.42
1.97423 	1349.31
1.99866 	1346.32
2.02258 	1343.45
2.04607 	1340.66
2.06913 	1337.96
2.09172 	1335.31
2.11382 	1332.62
2.13542 	1329.73
2.15649 	1327.74
2.17701 	1325.82
2.19696 	1323.72
2.21635 	1321.6
2.23523 	1319.53
2.25362 	1317.5
2.2715 	1315.5
2.28885 	1313.54
2.30573 	1311.58
2.32213 	1309.64
2.33803 	1307.69
2.35349 	1305.72
2.3685 	1303.71
2.38313 	1301.64
2.39735 	1299.47
2.41116 	1297.2
2.42463 	1294.79
2.43767 	1292.25
2.45036 	1289.57
2.46275 	1286.73
2.47478 	1283.76
2.48649 	1280.67
2.4979 	1277.46
2.509 	1274.16
2.51984 	1270.75
2.53044 	1267.25
2.54079 	1263.66
2.55088 	1260.01
2.56071 	1256.3
2.57028 	1252.55
2.57958 	1248.79
2.58869 	1245
2.5976 	1241.21
2.60631 	1237.43
2.61483 	1233.7
2.62314 	1230.05
2.63132 	1226.45
2.6393 	1222.98
2.64706 	1219.64
2.6547 	1216.43
2.6622 	1213.37
2.66957 	1210.45
2.6768 	1207.7
2.68389 	1205.12
2.68866 	1203.47
2.69117 	1202.61
2.69368 	1201.76
2.6962 	1200.94
2.69871 	1200.12
2.70122 	1199.32
2.70374 	1198.54
2.70625 	1197.77
2.70876 	1197.02
2.71128 	1196.27
2.71379 	1195.55
2.7163 	1194.83
2.71882 	1194.13
2.72133 	1193.45
2.72384 	1192.77
2.72636 	1192.11
2.72887 	1191.46
2.73138 	1190.82
