
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60153             0.60153
MW[kg/kmol]                   28.04177            28.04177
H[J/kg]                       -1.283678e+006      -1.283696e+006
U[J/kg]                       -1.566290e+006      -1.566307e+006
E[J/kg]                       -1.283678e+006      -1.283695e+006
Conv.(%) O2                   0.000e+000          2.943e-003
Conv.(%) H2O                  0.000e+000          -1.945e-003
Conv.(%) CH4                  0.000e+000          1.982e-002
Conv.(%) CO2                  0.000e+000          -1.598e-007
Conv.(%) C2H6                 0.000e+000          3.409e-001
Conv.(%) NO                   0.000e+000          1.175e+000
Conv.(%) NO2                  0.000e+000          -3.914e+000
Conv.(%) N2                   0.000e+000          4.323e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.229205e-003       9.229205e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067546e-002       3.067546e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.774715e-010
H                             0.000000e+000       3.417529e-014
O                             0.000000e+000       3.755741e-012
O2                            9.699210e-002       9.698924e-002
OH                            0.000000e+000       1.248085e-010
H2O                           8.351649e-002       8.351811e-002
HO2                           0.000000e+000       1.722413e-009
H2O2                          0.000000e+000       6.219435e-011
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       1.678748e-026
CH2                           0.000000e+000       1.522184e-016
CH2(S)                        0.000000e+000       6.920785e-018
CH3                           0.000000e+000       2.658710e-008
CH4                           2.523009e-003       2.522509e-003
CO                            0.000000e+000       1.287374e-008
CO2                           1.020116e-001       1.020116e-001
HCO                           0.000000e+000       8.158903e-015
CH2O                          0.000000e+000       7.462669e-007
CH2OH                         0.000000e+000       4.997471e-018
CH3O                          0.000000e+000       3.266658e-013
CH3OH                         0.000000e+000       7.617584e-010
C2H                           0.000000e+000       3.504955e-023
