0.000809547 	-0.00387051
0.00242864 	-0.0080455
0.00404774 	-0.01192
0.00566683 	-0.0159171
0.00728592 	-0.0199375
0.00890502 	-0.0239132
0.0105241 	-0.0277967
0.0121432 	-0.0315479
0.0137623 	-0.035129
0.0153814 	-0.0385026
0.0170005 	-0.0416337
0.0186196 	-0.0444933
0.0202387 	-0.0470637
0.0218578 	-0.0493471
0.0234769 	-0.051372
0.025096 	-0.0532008
0.0267151 	-0.0549361
0.0283342 	-0.0567333
0.0299532 	-0.0588203
0.0315723 	-0.0615455
0.0331914 	-0.0654622
0.0348105 	-0.0714417
0.0364296 	-0.0808202
0.0380487 	-0.095759
0.0396678 	-0.120542
0.0412869 	-0.166132
0.042906 	-0.270932
0.0445251 	-0.569783
0.0461442 	-1.36181
0.0477633 	-2.79173
0.0493824 	-4.40877
0.0510015 	-5.84563
0.0526206 	-6.76949
0.0542397 	-7.31527
0.0558588 	-7.69628
0.0574779 	-8.00727
0.0590969 	-8.28245
0.060716 	-8.5356
0.0623351 	-8.77266
0.0639542 	-8.85023
