
-----------------------------------------------------------------------------
Status                        Initial             Final
C2H2                          0.000000e+000       1.729357e-011
C2H3                          0.000000e+000       1.243744e-015
C2H4                          0.000000e+000       1.802384e-006
C2H5                          0.000000e+000       6.159109e-011
C2H6                          5.254135e-004       5.235463e-004
HCCO                          0.000000e+000       1.019231e-018
CH2CO                         0.000000e+000       3.418584e-010
HCCOH                         0.000000e+000       1.767116e-017
N                             0.000000e+000       2.014305e-020
NH                            0.000000e+000       1.954648e-020
NH2                           0.000000e+000       4.860481e-020
NH3                           0.000000e+000       3.198414e-017
NNH                           0.000000e+000       4.706469e-019
NO                            3.744966e-004       3.725628e-004
NO2                           1.722527e-004       1.752144e-004
N2O                           0.000000e+000       5.149374e-013
HNO                           0.000000e+000       4.109321e-013
CN                            0.000000e+000       4.270944e-021
HCN                           0.000000e+000       1.822522e-009
H2CN                          0.000000e+000       4.926514e-015
HCNN                          0.000000e+000       3.256060e-027
HCNO                          0.000000e+000       1.050416e-012
HOCN                          0.000000e+000       1.004897e-015
HNCO                          0.000000e+000       5.428568e-012
NCO                           0.000000e+000       1.959717e-018
N2                            7.138997e-001       7.138997e-001
AR                            0.000000e+000       0.000000e+000
C3H7                          0.000000e+000       1.737094e-014
C3H8                          0.000000e+000       9.805933e-011
CH2CHO                        0.000000e+000       5.171654e-014
CH3CHO                        0.000000e+000       1.814671e-013
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       3.251178e-009
H                             0.000000e+000       7.577414e-013
O                             0.000000e+000       6.498188e-012
O2                            8.500000e-002       8.499741e-002
OH                            0.000000e+000       2.055759e-010
H2O                           1.300000e-001       1.300026e-001
HO2                           0.000000e+000       6.240859e-010
H2O2                          0.000000e+000       2.179001e-011
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       3.472103e-026
CH2                           0.000000e+000       2.957533e-016
CH2(S)                        0.000000e+000       1.352737e-017
CH3                           0.000000e+000       4.960415e-008
CH4                           4.410000e-003       4.409089e-003
CO                            0.000000e+000       1.382983e-008
CO2                           6.500000e-002       6.500000e-002
HCO                           0.000000e+000       8.129288e-015
CH2O                          0.000000e+000       7.229524e-007
CH2OH                         0.000000e+000       4.025933e-018
CH3O                          0.000000e+000       2.688865e-013
CH3OH                         0.000000e+000       6.826884e-010
C2H                           0.000000e+000       4.232569e-023
C2H2                          0.000000e+000       1.862539e-011
C2H3                          0.000000e+000       1.289603e-015
C2H4                          0.000000e+000       1.801693e-006
C2H5                          0.000000e+000       5.943205e-011
C2H6                          4.900000e-004       4.882587e-004
HCCO                          0.000000e+000       6.966422e-019
CH2CO                         0.000000e+000       2.280567e-010
HCCOH                         0.000000e+000       1.178858e-017
N                             0.000000e+000       4.032816e-020
NH                            0.000000e+000       3.650661e-020
NH2                           0.000000e+000       8.506751e-020
NH3                           0.000000e+000       5.266509e-017
NNH                           0.000000e+000       4.547745e-019
NO                            3.500000e-004       3.481927e-004
NO2                           1.050000e-004       1.068054e-004
N2O                           0.000000e+000       3.280966e-013
HNO                           0.000000e+000       3.715700e-013
CN                            0.000000e+000       4.603395e-021
HCN                           0.000000e+000       1.891121e-009
H2CN                          0.000000e+000       4.928139e-015
HCNN                          0.000000e+000       2.225294e-027
HCNO                          0.000000e+000       6.846504e-013
HOCN                          0.000000e+000       6.549817e-016
HNCO                          0.000000e+000       3.538284e-012
NCO                           0.000000e+000       1.307967e-018
N2                            7.146450e-001       7.146450e-001
AR                            0.000000e+000       0.000000e+000
C3H7                          0.000000e+000       1.130538e-014
C3H8                          0.000000e+000       6.236030e-011
CH2CHO                        0.000000e+000       3.369264e-014
CH3CHO                        0.000000e+000       1.155183e-013
-----------------------------------------------------------------------------
