
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60156             0.60156
MW[kg/kmol]                   28.04325            28.04325
H[J/kg]                       -1.282860e+006      -1.282878e+006
U[J/kg]                       -1.565456e+006      -1.565474e+006
E[J/kg]                       -1.282859e+006      -1.282877e+006
Conv.(%) O2                   0.000e+000          3.047e-003
Conv.(%) H2O                  0.000e+000          -2.029e-003
Conv.(%) CH4                  0.000e+000          2.065e-002
Conv.(%) CO2                  0.000e+000          -1.790e-007
Conv.(%) C2H6                 0.000e+000          3.554e-001
Conv.(%) NO                   0.000e+000          5.164e-001
Conv.(%) NO2                  0.000e+000          -1.719e+000
Conv.(%) N2                   0.000e+000          4.410e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.236069e-003       9.236069e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.066988e-002       3.066988e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.337238e-010
H                             0.000000e+000       2.723662e-014
O                             0.000000e+000       3.707292e-012
O2                            9.698699e-002       9.698403e-002
OH                            0.000000e+000       1.246728e-010
H2O                           8.351208e-002       8.351378e-002
HO2                           0.000000e+000       7.345290e-010
H2O2                          0.000000e+000       2.642937e-011
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       1.611914e-026
CH2                           0.000000e+000       1.479333e-016
CH2(S)                        0.000000e+000       6.766280e-018
CH3                           0.000000e+000       2.659458e-008
CH4                           2.522876e-003       2.522355e-003
CO                            0.000000e+000       1.381343e-008
CO2                           1.020062e-001       1.020062e-001
HCO                           0.000000e+000       8.411853e-015
CH2O                          0.000000e+000       7.740676e-007
CH2OH                         0.000000e+000       4.455290e-018
CH3O                          0.000000e+000       2.975626e-013
CH3OH                         0.000000e+000       7.800346e-010
C2H                           0.000000e+000       3.777780e-023
