
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60151             0.60151
MW[kg/kmol]                   28.04073            28.04073
H[J/kg]                       -1.284252e+006      -1.284268e+006
U[J/kg]                       -1.566874e+006      -1.566890e+006
E[J/kg]                       -1.284251e+006      -1.284267e+006
Conv.(%) O2                   0.000e+000          2.740e-003
Conv.(%) H2O                  0.000e+000          -1.790e-003
Conv.(%) CH4                  0.000e+000          1.941e-002
Conv.(%) CO2                  0.000e+000          -8.136e-008
Conv.(%) C2H6                 0.000e+000          3.082e-001
Conv.(%) NO                   0.000e+000          1.560e+001
Conv.(%) NO2                  0.000e+000          -5.201e+001
Conv.(%) N2                   0.000e+000          7.899e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.224400e-003       9.224400e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067936e-002       3.067936e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       5.580308e-010
H                             0.000000e+000       1.033254e-013
O                             0.000000e+000       5.032842e-012
O2                            9.699568e-002       9.699302e-002
OH                            0.000000e+000       1.406855e-010
H2O                           8.351957e-002       8.352106e-002
HO2                           0.000000e+000       3.286035e-008
H2O2                          0.000000e+000       1.346518e-009
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       2.971556e-026
CH2                           0.000000e+000       1.816968e-016
CH2(S)                        0.000000e+000       8.228824e-018
CH3                           0.000000e+000       2.852860e-008
CH4                           2.523102e-003       2.522612e-003
CO                            0.000000e+000       1.144088e-008
CO2                           1.020153e-001       1.020153e-001
HCO                           0.000000e+000       8.732864e-015
CH2O                          0.000000e+000       7.489550e-007
CH2OH                         0.000000e+000       2.056818e-017
CH3O                          0.000000e+000       1.306083e-012
CH3OH                         0.000000e+000       1.161821e-009
C2H                           0.000000e+000       3.151336e-023
