
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60162             0.60162
MW[kg/kmol]                   28.04583            28.04583
H[J/kg]                       -1.281427e+006      -1.281446e+006
U[J/kg]                       -1.563998e+006      -1.564016e+006
E[J/kg]                       -1.281426e+006      -1.281445e+006
Conv.(%) O2                   0.000e+000          3.155e-003
Conv.(%) H2O                  0.000e+000          -2.122e-003
Conv.(%) CH4                  0.000e+000          2.162e-002
Conv.(%) CO2                  0.000e+000          -1.997e-007
Conv.(%) C2H6                 0.000e+000          3.708e-001
Conv.(%) NO                   0.000e+000          2.632e-001
Conv.(%) NO2                  0.000e+000          -8.756e-001
Conv.(%) N2                   0.000e+000          4.639e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.248082e-003       9.248082e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.066012e-002       3.066012e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.882265e-010
H                             0.000000e+000       2.086024e-014
O                             0.000000e+000       3.704012e-012
O2                            9.697804e-002       9.697498e-002
OH                            0.000000e+000       1.246270e-010
H2O                           8.350438e-002       8.350616e-002
HO2                           0.000000e+000       3.688411e-010
H2O2                          0.000000e+000       1.331726e-011
C                             0.000000e+000       9.146190e-036
CH                            0.000000e+000       1.383719e-026
CH2                           0.000000e+000       1.515896e-016
CH2(S)                        0.000000e+000       7.006109e-018
CH3                           0.000000e+000       2.657558e-008
CH4                           2.522643e-003       2.522098e-003
CO                            0.000000e+000       1.487820e-008
CO2                           1.019968e-001       1.019968e-001
HCO                           0.000000e+000       8.828057e-015
CH2O                          0.000000e+000       8.056113e-007
CH2OH                         0.000000e+000       4.425437e-018
CH3O                          0.000000e+000       2.873119e-013
CH3OH                         0.000000e+000       8.171063e-010
C2H                           0.000000e+000       4.175527e-023
