
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60173             0.60173
MW[kg/kmol]                   28.05101            28.05100
H[J/kg]                       -1.278562e+006      -1.278582e+006
U[J/kg]                       -1.561081e+006      -1.561100e+006
E[J/kg]                       -1.278562e+006      -1.278581e+006
Conv.(%) O2                   0.000e+000          3.265e-003
Conv.(%) H2O                  0.000e+000          -2.230e-003
Conv.(%) CH4                  0.000e+000          2.278e-002
Conv.(%) CO2                  0.000e+000          -2.196e-007
Conv.(%) C2H6                 0.000e+000          3.883e-001
Conv.(%) NO                   0.000e+000          1.331e-001
Conv.(%) NO2                  0.000e+000          -4.416e-001
Conv.(%) N2                   0.000e+000          4.909e-011
Total species (kmol/m2/s)     2.145129e-002       2.145130e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.272108e-003       9.272108e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.064060e-002       3.064060e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.378101e-010
H                             0.000000e+000       1.454921e-014
O                             0.000000e+000       3.773097e-012
O2                            9.696016e-002       9.695699e-002
OH                            0.000000e+000       1.258854e-010
H2O                           8.348899e-002       8.349085e-002
HO2                           0.000000e+000       1.895420e-010
H2O2                          0.000000e+000       6.856272e-012
C                             0.000000e+000       1.927118e-034
CH                            0.000000e+000       1.440649e-026
CH2                           0.000000e+000       1.485579e-016
CH2(S)                        0.000000e+000       7.008272e-018
CH3                           0.000000e+000       2.681513e-008
CH4                           2.522178e-003       2.521604e-003
CO                            0.000000e+000       1.608578e-008
CO2                           1.019780e-001       1.019780e-001
HCO                           0.000000e+000       9.230209e-015
CH2O                          0.000000e+000       8.416028e-007
CH2OH                         0.000000e+000       4.350041e-018
CH3O                          0.000000e+000       2.844672e-013
CH3OH                         0.000000e+000       8.635423e-010
C2H                           0.000000e+000       4.596767e-023
