
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60159             0.60159
MW[kg/kmol]                   28.04435            28.04435
H[J/kg]                       -1.282246e+006      -1.282264e+006
U[J/kg]                       -1.564831e+006      -1.564849e+006
E[J/kg]                       -1.282245e+006      -1.282263e+006
Conv.(%) O2                   0.000e+000          3.098e-003
Conv.(%) H2O                  0.000e+000          -2.073e-003
Conv.(%) CH4                  0.000e+000          2.110e-002
Conv.(%) CO2                  0.000e+000          -1.890e-007
Conv.(%) C2H6                 0.000e+000          3.626e-001
Conv.(%) NO                   0.000e+000          3.649e-001
Conv.(%) NO2                  0.000e+000          -1.215e+000
Conv.(%) N2                   0.000e+000          4.518e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.241218e-003       9.241218e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.066570e-002       3.066570e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.112045e-010
H                             0.000000e+000       2.405194e-014
O                             0.000000e+000       3.703877e-012
O2                            9.698315e-002       9.698015e-002
OH                            0.000000e+000       1.248239e-010
H2O                           8.350878e-002       8.351051e-002
HO2                           0.000000e+000       5.153932e-010
H2O2                          0.000000e+000       1.855308e-011
C                             0.000000e+000       0.000000e+000
CH                            0.000000e+000       1.563635e-026
CH2                           0.000000e+000       1.479441e-016
CH2(S)                        0.000000e+000       6.797089e-018
CH3                           0.000000e+000       2.662756e-008
CH4                           2.522776e-003       2.522244e-003
CO                            0.000000e+000       1.431587e-008
CO2                           1.020022e-001       1.020022e-001
HCO                           0.000000e+000       8.580034e-015
CH2O                          0.000000e+000       7.887703e-007
CH2OH                         0.000000e+000       4.372724e-018
CH3O                          0.000000e+000       2.917099e-013
CH3OH                         0.000000e+000       7.962901e-010
C2H                           0.000000e+000       3.948243e-023
