
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60160             0.60160
MW[kg/kmol]                   28.04509            28.04509
H[J/kg]                       -1.281836e+006      -1.281855e+006
U[J/kg]                       -1.564414e+006      -1.564433e+006
E[J/kg]                       -1.281836e+006      -1.281854e+006
Conv.(%) O2                   0.000e+000          3.136e-003
Conv.(%) H2O                  0.000e+000          -2.104e-003
Conv.(%) CH4                  0.000e+000          2.142e-002
Conv.(%) CO2                  0.000e+000          -1.945e-007
Conv.(%) C2H6                 0.000e+000          3.678e-001
Conv.(%) NO                   0.000e+000          3.065e-001
Conv.(%) NO2                  0.000e+000          -1.020e+000
Conv.(%) N2                   0.000e+000          4.592e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.244650e-003       9.244650e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.066291e-002       3.066291e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       1.994030e-010
H                             0.000000e+000       2.247807e-014
O                             0.000000e+000       3.720839e-012
O2                            9.698060e-002       9.697756e-002
OH                            0.000000e+000       1.255878e-010
H2O                           8.350658e-002       8.350834e-002
HO2                           0.000000e+000       4.327328e-010
H2O2                          0.000000e+000       1.559655e-011
C                             0.000000e+000       4.782934e-035
CH                            0.000000e+000       1.552691e-026
CH2                           0.000000e+000       1.487742e-016
CH2(S)                        0.000000e+000       6.855563e-018
CH3                           0.000000e+000       2.679012e-008
CH4                           2.522710e-003       2.522169e-003
CO                            0.000000e+000       1.463991e-008
CO2                           1.019995e-001       1.019995e-001
HCO                           0.000000e+000       8.716760e-015
CH2O                          0.000000e+000       7.995874e-007
CH2OH                         0.000000e+000       4.369984e-018
CH3O                          0.000000e+000       2.910691e-013
CH3OH                         0.000000e+000       8.073947e-010
C2H                           0.000000e+000       4.073527e-023
