
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60156             0.60156
MW[kg/kmol]                   28.04288            28.04288
H[J/kg]                       -1.283064e+006      -1.283082e+006
U[J/kg]                       -1.565665e+006      -1.565683e+006
E[J/kg]                       -1.283064e+006      -1.283082e+006
Conv.(%) O2                   0.000e+000          3.026e-003
Conv.(%) H2O                  0.000e+000          -2.011e-003
Conv.(%) CH4                  0.000e+000          2.047e-002
Conv.(%) CO2                  0.000e+000          -1.748e-007
Conv.(%) C2H6                 0.000e+000          3.524e-001
Conv.(%) NO                   0.000e+000          5.996e-001
Conv.(%) NO2                  0.000e+000          -1.997e+000
Conv.(%) N2                   0.000e+000          4.374e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.234353e-003       9.234353e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067128e-002       3.067128e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.425441e-010
H                             0.000000e+000       2.862657e-014
O                             0.000000e+000       3.720258e-012
O2                            9.698826e-002       9.698533e-002
OH                            0.000000e+000       1.249655e-010
H2O                           8.351318e-002       8.351486e-002
HO2                           0.000000e+000       8.589595e-010
H2O2                          0.000000e+000       3.088899e-011
C                             0.000000e+000       1.885948e-032
CH                            0.000000e+000       1.614172e-026
CH2                           0.000000e+000       1.484319e-016
CH2(S)                        0.000000e+000       6.778960e-018
CH3                           0.000000e+000       2.665574e-008
CH4                           2.522909e-003       2.522393e-003
CO                            0.000000e+000       1.360586e-008
CO2                           1.020075e-001       1.020075e-001
HCO                           0.000000e+000       8.350336e-015
CH2O                          0.000000e+000       7.679799e-007
CH2OH                         0.000000e+000       4.518087e-018
CH3O                          0.000000e+000       3.017320e-013
CH3OH                         0.000000e+000       7.737722e-010
C2H                           0.000000e+000       3.715479e-023
