
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.21
Length[m]                     0                   0.21
T[K]                          953.150             953.150
P[atm]                        1.67777             1.67777
V[m3]                         1.00000             1.00000
rho[kg/m3]                    0.60154             0.60154
MW[kg/kmol]                   28.04214            28.04214
H[J/kg]                       -1.283474e+006      -1.283491e+006
U[J/kg]                       -1.566082e+006      -1.566099e+006
E[J/kg]                       -1.283473e+006      -1.283491e+006
Conv.(%) O2                   0.000e+000          2.974e-003
Conv.(%) H2O                  0.000e+000          -1.969e-003
Conv.(%) CH4                  0.000e+000          2.005e-002
Conv.(%) CO2                  0.000e+000          -1.654e-007
Conv.(%) C2H6                 0.000e+000          3.453e-001
Conv.(%) NO                   0.000e+000          8.885e-001
Conv.(%) NO2                  0.000e+000          -2.960e+000
Conv.(%) N2                   0.000e+000          4.320e-011
Total species (kmol/m2/s)     2.145129e-002       2.145129e-002
Element(kmol/m2/s) H          6.018804e-003       6.018804e-003
Element(kmol/m2/s) O          9.230921e-003       9.230921e-003
Element(kmol/m2/s) C          1.509957e-003       1.509957e-003
Element(kmol/m2/s) N          3.067406e-002       3.067406e-002
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Initial             Final
-----------------------------------------------------------------------------
H2                            0.000000e+000       2.637437e-010
H                             0.000000e+000       3.193597e-014
O                             0.000000e+000       3.741045e-012
O2                            9.699082e-002       9.698793e-002
OH                            0.000000e+000       1.249658e-010
H2O                           8.351539e-002       8.351703e-002
HO2                           0.000000e+000       1.290410e-009
H2O2                          0.000000e+000       4.646340e-011
C                             0.000000e+000       2.348386e-032
CH                            0.000000e+000       1.762980e-026
CH2                           0.000000e+000       1.494837e-016
CH2(S)                        0.000000e+000       6.806609e-018
CH3                           0.000000e+000       2.664131e-008
CH4                           2.522976e-003       2.522470e-003
CO                            0.000000e+000       1.314956e-008
CO2                           1.020102e-001       1.020102e-001
HCO                           0.000000e+000       8.212675e-015
CH2O                          0.000000e+000       7.541772e-007
CH2OH                         0.000000e+000       4.731351e-018
CH3O                          0.000000e+000       3.140174e-013
CH3OH                         0.000000e+000       7.636609e-010
C2H                           0.000000e+000       3.576759e-023
